BugName,Baseline,AutoSD
JacksonDatabind_41,,
JacksonDatabind_42,TRUE,TRUE
JacksonDatabind_43,,
JacksonDatabind_44,,
JacksonDatabind_45,,
JacksonDatabind_46,TRUE,TRUE
JacksonDatabind_47,FALSE,
JacksonDatabind_48,,
JacksonDatabind_49,TRUE,TRUE
JacksonDatabind_50,,
JacksonDatabind_51,,
JacksonDatabind_52,,
JacksonDatabind_53,,
JacksonDatabind_54,,
JacksonDatabind_55,,
JacksonDatabind_56,TRUE,TRUE
JacksonDatabind_57,TRUE,TRUE
JacksonDatabind_58,TRUE,TRUE
JacksonDatabind_59,,
JacksonDatabind_60,FALSE,
JacksonDatabind_61,,
JacksonDatabind_62,,
JacksonDatabind_63,,FALSE
JacksonDatabind_64,,
JacksonDatabind_65,,
JacksonDatabind_66,,
JacksonDatabind_67,TRUE,TRUE
JacksonDatabind_68,,
JacksonDatabind_69,,
JacksonDatabind_70,TRUE,TRUE
JacksonDatabind_71,TRUE,TRUE
JacksonDatabind_72,,
JacksonDatabind_73,,
JacksonDatabind_74,TRUE,TRUE
JacksonDatabind_75,,
JacksonDatabind_76,,
JacksonDatabind_77,,
JacksonDatabind_78,,
JacksonDatabind_79,,
JacksonDatabind_80,,
JacksonDatabind_81,,
JacksonDatabind_82,,
JacksonDatabind_83,,TRUE
JacksonDatabind_84,,
JacksonDatabind_85,FALSE,
JacksonDatabind_86,,
JacksonDatabind_87,,
JacksonDatabind_88,,
JacksonDatabind_89,,
JacksonDatabind_90,TRUE,TRUE
JacksonDatabind_91,,
JacksonDatabind_92,,
JacksonDatabind_93,TRUE,TRUE
JacksonDatabind_94,FALSE,FALSE
JacksonDatabind_95,,
JacksonDatabind_96,TRUE,TRUE
JacksonDatabind_97,TRUE,TRUE
JacksonDatabind_98,,
JacksonDatabind_99,TRUE,TRUE
JacksonDatabind_100,TRUE,TRUE
JacksonDatabind_101,FALSE,
JacksonDatabind_102,TRUE,FALSE
JacksonDatabind_103,,
JacksonDatabind_104,,
JacksonDatabind_105,,
JacksonDatabind_106,,
JacksonDatabind_107,,
JacksonDatabind_108,TRUE,TRUE
JacksonDatabind_109,,
JacksonDatabind_110,,TRUE
JacksonDatabind_111,,
JacksonDatabind_112,,
JacksonXML_1,,
JacksonXML_2,,
JacksonXML_3,TRUE,TRUE
JacksonXML_4,,TRUE
JacksonXML_5,,
JacksonXML_6,,
Jsoup_1,TRUE,TRUE
Jsoup_2,,
Jsoup_3,,
Jsoup_4,,
Jsoup_5,,
Jsoup_6,,
Jsoup_7,,
Jsoup_8,TRUE,TRUE
Jsoup_9,,
Jsoup_10,TRUE,TRUE
Jsoup_11,,
Jsoup_12,,
Jsoup_13,FALSE,
Jsoup_14,,
Jsoup_15,,
Jsoup_16,,
Jsoup_17,,
Jsoup_18,,
Jsoup_19,,
Jsoup_20,TRUE,TRUE
Jsoup_21,,
Jsoup_22,,
Jsoup_23,,
Jsoup_24,,
Jsoup_25,,
Jsoup_26,TRUE,TRUE
Jsoup_27,,
Jsoup_28,,
Jsoup_29,TRUE,TRUE
Jsoup_30,,
Jsoup_31,,
Jsoup_32,,TRUE
Jsoup_33,,
Jsoup_34,TRUE,TRUE
Jsoup_35,,
Jsoup_36,,
Jsoup_37,,
Jsoup_38,,
Jsoup_39,TRUE,TRUE
Jsoup_40,TRUE,TRUE
Jsoup_41,TRUE,TRUE
Jsoup_42,TRUE,TRUE
Jsoup_43,TRUE,TRUE
Jsoup_44,,
Jsoup_45,TRUE,TRUE
Jsoup_46,,TRUE
Jsoup_47,,TRUE
Jsoup_48,,TRUE
Jsoup_49,TRUE,TRUE
Jsoup_50,,
Jsoup_51,TRUE,FALSE
Jsoup_52,,
Jsoup_53,,
Jsoup_54,FALSE,FALSE
Jsoup_55,TRUE,TRUE
Jsoup_56,,
Jsoup_57,TRUE,TRUE
Jsoup_58,,
Jsoup_59,TRUE,TRUE
Jsoup_60,,
Jsoup_61,,
Jsoup_62,TRUE,TRUE
Jsoup_63,,
Jsoup_64,FALSE,
Jsoup_65,,
Jsoup_66,,
Jsoup_67,,
Jsoup_68,TRUE,TRUE
Jsoup_69,,
Jsoup_70,TRUE,FALSE
Jsoup_71,,
Jsoup_72,,
Jsoup_73,,
Jsoup_74,,
Jsoup_75,TRUE,
Jsoup_76,,
Jsoup_77,TRUE,TRUE
Jsoup_78,,
Jsoup_79,,
Jsoup_80,TRUE,
Jsoup_81,,
Jsoup_82,,
Jsoup_83,,
Jsoup_84,TRUE,TRUE
Jsoup_85,TRUE,TRUE
Jsoup_86,FALSE,TRUE
Jsoup_87,,
Jsoup_88,TRUE,TRUE
Jsoup_89,FALSE,
Jsoup_90,TRUE,TRUE
Jsoup_91,,
Jsoup_92,,
Jsoup_93,,
JxPath_1,,
JxPath_2,,
JxPath_3,,
JxPath_4,,
JxPath_5,,
JxPath_6,,
JxPath_7,,
JxPath_8,TRUE,TRUE
JxPath_9,,
JxPath_10,,
JxPath_11,,
JxPath_12,,
JxPath_13,,
JxPath_14,,
JxPath_15,,
JxPath_16,,
JxPath_17,,
JxPath_18,,
JxPath_19,,
JxPath_20,,
JxPath_21,TRUE,
JxPath_22,,
